Id,Classification
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,0
9,0
10,1
11,0
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,0
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,0
41,1
42,1
43,0
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,1
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,1
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,1
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,0
208,1
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,0
226,0
227,1
