Id,Classification
1,1
2,1
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,0
127,0
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,1
151,0
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,1
162,1
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,1
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,1
184,1
185,1
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,1
205,1
206,1
207,0
208,1
209,0
210,1
211,0
212,1
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,1
